JMB0812 17.83  0.15 K162A 180.72103  233.79652   95.35000    3.10546  0.0298201  0.25433991   2.4671357    FO 161023     4   1 58.1 min  0.17         Find_Orb   0000 JMB0812                     20160209
JMB0813 17.68  0.15 K162A   0.11881   95.56533   53.47990    2.25155  0.0404207  0.26841361   2.3801246    FO 161023     3   1 38.6 min  0.12         Find_Orb   0000 JMB0813                     20160209
OBB0007 18.84  0.15 K162A   0.06583  107.12050   41.32843    2.08088  0.1546755  0.25722025   2.4486833    FO 161023     4   1 58.1 min  0.10         Find_Orb   0000 OBB0007                     20160209
OBB0008 17.22  0.15 K162A   0.08455   48.79473  101.77026    3.26295  0.0611106  0.18647606   3.0342684    FO 161023     3   1 38.8 min  0.08         Find_Orb   0000 OBB0008                     20160209
OBB0009 17.40  0.15 K162A 180.35194  330.42431  359.16158    4.49971  0.1237413  0.28991621   2.2609331    FO 161023     4   1 58.1 min  0.23         Find_Orb   0000 OBB0009                     20160209
OBB0010 17.46  0.15 K162A 180.38821  332.64335  356.88754    4.80236  0.0979740  0.28000193   2.3139929    FO 161023     4   1 58.1 min  0.24         Find_Orb   0000 OBB0010                     20160209
PCH0016 16.34  0.15 K162B 179.88683  260.47509   91.51537   13.26239  0.0786106  0.22961422   2.6412136    FO 161023     3   1 32.8 min  0.87         Find_Orb   0000 PCH0016                     20160211
PLF3001 17.02  0.15 K1623 359.87706   34.17160  113.53420   13.11085  0.1115466  0.23913058   2.5706679    FO 161023     4   1 51.5 min  0.09         Find_Orb   0000 PLF3001                     20160203
PLF3002 20.19  0.15 K1623  24.13939   11.96781   80.06635    5.63743  0.3550764  0.29469866   2.2364058    FO 161023     4   1 51.5 min  0.05         Find_Orb   0000 PLF3002                     20160203
PLF3003 19.38  0.15 K1623 359.86459   78.60041   66.47019    6.28708  0.1647090  0.28921003   2.2646120    FO 161023     3   1 51.5 min  0.17         Find_Orb   0000 PLF3003                     20160203
PST0017 19.66  0.15 K162A   0.08499  151.13679  355.42585    2.03481  0.2000077  0.27107243   2.3645354    FO 161023     4   1 58.1 min  0.15         Find_Orb   0000 PST0017                     20160209
PST0019 18.85  0.15 K162A   0.12156   23.01883  123.61300    3.22365  0.2080815  0.26697914   2.3886425    FO 161023     4   1 58.1 min  0.09         Find_Orb   0000 PST0019                     20160209
PST0021 19.85  0.15 K162A   0.07905   31.23320  115.43155    2.36944  0.2369276  0.25252554   2.4789390    FO 161023     4   1 58.1 min  0.27         Find_Orb   0000 PST0021                     20160209
PST0022 16.28  0.15 K162A   0.09616   23.66374  125.38829    3.78408  0.0358970  0.19403790   2.9549151    FO 161023     4   1 58.1 min  0.06         Find_Orb   0000 PST0022                     20160209
PST0023 17.66  0.15 K162A   0.67427  135.85814   11.97670    2.06885  0.0113447  0.23924405   2.5698550    FO 161023     4   1 58.1 min  0.22         Find_Orb   0000 PST0023                     20160209
UKR0005 18.08  0.15 K162A  60.76116  340.72926   76.92435    1.11596  0.2627610  0.30812124   2.1709757    FO 161023     4   1 58.1 min  0.14         Find_Orb   0000 UKR0005                     20160209
UKR0006 17.22  0.15 K162A 180.19701  194.07922  135.57331    5.16150  0.0881203  0.27624142   2.3349461    FO 161023     4   1 58.1 min  0.24         Find_Orb   0000 UKR0006                     20160209
VHS0001 18.75  0.15 K162A   0.15486   50.46135   99.43991    3.91819  0.0262160  0.27439558   2.3454057    FO 161023     4   1 58.1 min  0.23         Find_Orb   0000 VHS0001                     20160209
VHS1001 17.91  0.15 K162A 180.11375  342.68609  345.51993    6.46037  0.1513062  0.30064898   2.2067996    FO 161023     4   1 58.1 min  0.12         Find_Orb   0000 VHS1001                     20160209
VHS1002 17.03  0.15 K162A 180.10673  355.68261  332.85593   13.70232  0.0158557  0.24918476   2.5010463    FO 161023     2   1 19.5 min  0.00         Find_Orb   0000 VHS1002                     20160209
VHS1003 19.61  0.15 K162A   0.08758   52.37853   96.25473    2.91538  0.1947789  0.27373443   2.3491808    FO 161023     4   1 58.1 min  0.13         Find_Orb   0000 VHS1003                     20160209
VHS1004 18.94  0.15 K162A   0.07397   21.86160  127.67788    6.83646  0.0640716  0.29966348   2.2116353    FO 161023     4   1 58.1 min  0.16         Find_Orb   0000 VHS1004                     20160209
